lhs,relationship,rhs
teeworlds,is-used-in-field,entertainment
telegram,is-a,application
telegram,is-used-in-field,chat
telegram,provides-functionality,communication
telegram,works-with,android
telegram,works-with,ios
telegram,works-with,windows
tensorflow,is-a,library
tensorflow,is-used-in-field,ai
tensorflow,is-used-in-field,deep-learning
tensorflow,works-with,cpp
tensorflow,works-with,python
terminal,is-a,interface
terminal,is-a,tool
terminal,provides-functionality,execution
terminal,works-with,linux
terminal,works-with,macos
terminal,works-with,operating-system
terraform,has-license,mozilla-public-license
terraform,has-property,open-source
terraform,is-a,infrastructure
terraform,is-a,tool
terraform,is-used-in-field,data-management
terraform,provides-functionality,automation
terraform,provides-functionality,management
terraform,works-with,aws
terraform,works-with,go
terraform,works-with,json
terraform,works-with,linux
testing,is-a,process
testing,is-used-in-field,software-development-process
testing,provides-functionality,code-quality
testing,provides-functionality,debugging
tex,is-a,word-processor
thelounge,has-property,cross-platform
thelounge,is-a,application
thelounge,is-used-in-field,chat
thelounge,is-used-in-field,messaging
thelounge,works-with,browser
thelounge,works-with,javascript
thelounge,works-with,nodejs
threejs,is-a,api
threejs,is-a,library
threejs,is-used-in-field,web-development
threejs,provides-functionality,3d
threejs,provides-functionality,graphics
threejs,works-with,javascript
tic-80,is-a,computer
tic-80,is-a,fantasy-console
tic-80,is-used-in-field,game-development
tracker-blocker,provides-functionality,blocking
tuya,is-a,platform
tuya,is-used-in-field,iot
twitch,is-a,platform
twitch,is-used-in-field,game-development
twitch,provides-functionality,streaming
twitter,has-property,free
twitter,is-a,application
twitter,is-a,social-media
twitter,is-used-in-field,social-network
typescript,is-a,programming-language
ubuntu,has-property,foss
ubuntu,has-property,open-source
ubuntu,is-a,operating-system
ubuntu,is-based-on,linux
ubuntu,maintained-by,canonical-ltd
ubuntu,works-with,cpp
ubuntu,works-with,python
umbraco,has-license,mit-license
umbraco,has-property,open-source
umbraco,is-a,cms
umbraco,is-used-in-field,user-experience
umbraco,is-used-in-field,user-interface
umbraco,is-used-in-field,web-development
umbraco,provides-functionality,management
umbraco,works-with,aspnet
umbraco,works-with,sql
unigine,is-a,game-engine
unigine,is-used-in-field,game-development
unigine,is-used-in-field,simulation
unigine,works-with,cpp
unigine,works-with,csharp
unigine,works-with,directx
unigine,works-with,opengl
unity,is-a,game-engine
unity,is-used-in-field,game-development
unity,provides-functionality,2d
unity,provides-functionality,3d
unity,provides-functionality,android
unity,provides-functionality,html
unity,provides-functionality,ios
unity,provides-functionality,linux
unity,provides-functionality,macos
unity,provides-functionality,windows
university-of-texas-arlington,is-a,organization
university-of-texas-arlington,is-used-in-field,education
unreal-engine,is-a,game-engine
unreal-engine,is-used-in-field,game-design
unreal-engine,is-used-in-field,game-development
unreal-engine,is-used-in-field,virtual-reality
unreal-engine,provides-functionality,2d
unreal-engine,provides-functionality,3d
unreal-engine,provides-functionality,android
unreal-engine,provides-functionality,augmented-reality
unreal-engine,provides-functionality,ios
unreal-engine,provides-functionality,linux
unreal-engine,provides-functionality,macos
unreal-engine,provides-functionality,real-time
unreal-engine,provides-functionality,windows
unreal-engine,works-with,cpp
uportal,has-property,open-source
uportal,is-a,framework
uportal,is-used-in-field,education
uportal,is-used-in-field,research
uportal,maintained-by,apereo
uportal,provides-functionality,portal
uportal,works-with,java
uportal,works-with,xml
user-experience,is-subset-of,ui-ux
user-experience,provides-functionality,design
user-experience,works-with,user-interface
user-interface,is-subset-of,interface
user-interface,is-subset-of,ui-ux
userscript,is-a,addon
userscript,is-used-in-field,browser
uwp,is-a,api
uwp,is-a,platform
uwp,is-used-in-field,software-development
uwp,is-used-in-field,software-development-process
uwp,provides-functionality,app-development
uwp,provides-functionality,universal-application
uwp,works-with,windows
v,is-a,programming-language
vagrant,is-a,tool
vagrant,is-used-in-field,system-administration
vagrant,provides-functionality,automation
vagrant,provides-functionality,virtualization
vala,is-a,programming-language
vala,works-with,gnome
vanilla-js,is-a,programming-language
vcs,provides-functionality,tracking
vercel,is-a,tool
vercel,is-used-in-field,frontend
vercel,is-used-in-field,web-development
vercel,is-used-in-field,workflow
vercel,provides-functionality,frontend
vercel,works-with,cloud-computing
vertx,has-property,cross-platform
vertx,is-a,framework
vertx,is-a,tool
vertx,is-used-in-field,web-development
vertx,provides-functionality,app-development
vertx,works-with,eclipse
vertx,works-with,java
vertx,works-with,jvm
vim,is-a,text-editor
vim,is-used-in-field,software-development
virtual-reality,is-a,environment
virtual-reality,is-a,field
virtual-reality,is-a,runtime-environment
virtual-reality,is-used-in-field,education
virtual-reality,is-used-in-field,entertainment
virtual-reality,overlaps-with,haptic-technology
virtual-reality,works-with,simulation
visual-basic,is-a,programming-language
visual-studio-code,is-a,text-editor
visual-studio-code,is-used-in-field,software-development
viur,is-a,framework
viur,is-a,information-system
viur,is-used-in-field,software-development
viur,is-used-in-field,software-development-process
viur,provides-functionality,agile
viur,works-with,google
viur,works-with,python
vk,is-a,social-media
vue,has-license,mit-license
vue,has-property,open-source
vue,is-a,framework
vue,is-used-in-field,web-development
vue,provides-functionality,frontend
vue,provides-functionality,mvvm
vue,provides-functionality,web-page
vue,works-with,javascript
vue,works-with,typescript
wagtail,is-a,cms
wagtail,works-with,python
web,is-a,information-system
web,works-with,internet
web-assembly,has-license,apache-license
web-assembly,has-property,multi-language
web-assembly,has-property,pre-compiled
web-assembly,has-property,static
web-assembly,is-a,parsing
web-assembly,is-a,programming-language
web-assembly,provided-by,apple
web-assembly,provided-by,google
web-assembly,provided-by,microsoft
web-assembly,provided-by,mozilla
web-assembly,provided-by,w3c
web-components,is-used-in-field,frontend
web-components,provides-functionality,reusability
web-components,works-with,html
web-components,works-with,shadow-dom
web-development,is-a,field
web-monetization,is-a,api
web-monetization,is-used-in-field,browser
web-monetization,works-with,javascript
webapp,is-a,application
webapp,is-a,website
webapp,works-with,browser
webapp,works-with,http
webauthn,is-a,api
webauthn,is-a,protocol
webauthn,is-used-in-field,security
webauthn,is-used-in-field,web-development
webauthn,provides-functionality,authentication
webextension,has-property,cross-platform
webextension,is-a,addon
webextension,is-a,protocol
webextension,is-used-in-field,browser
webextension,works-with,browser
webpack,is-a,bundler
webpack,is-a,tool
webpack,is-used-in-field,user-experience
webpack,is-used-in-field,web-development
webpack,provides-functionality,frontend
webpack,works-with,css
webpack,works-with,javascript
webpack,works-with,nodejs
website,works-with,browser
windows,is-a,operating-system
winforms,is-a,framework
winforms,is-used-in-field,desktop
winforms,provides-functionality,user-experience
winforms,provides-functionality,user-interface
winforms,works-with,dotnet
wordplate,is-a,cms
wordplate,is-used-in-field,web-development
wordplate,provides-functionality,frontend
wordplate,works-with,php
wordplate,works-with,wordpress
wordpress,is-a,cms
wordpress,is-based-on,php
wordpress,is-used-in-field,web-development
wordpress,provides-functionality,frontend
wordpress,provides-functionality,web-page
wordpress,provides-functionality,website
wordpress,works-with,mysql
wordpress,works-with,php
wpf,has-property,gui
wpf,has-property,open-source
wpf,is-a,framework
wpf,is-used-in-field,desktop
wpf,provides-functionality,user-experience
wpf,provides-functionality,user-interface
wpf,works-with,c
wpf,works-with,cpp
wpf,works-with,csharp
wpf,works-with,directx
wpf,works-with,dotnet
wsl,is-a,virtual-machine
wsl,provides-functionality,linux
wsl,works-with,windows
xamarin,is-a,platform
xamarin,is-used-in-field,desktop
xamarin,is-used-in-field,mobile
xamarin,provides-functionality,frontend
xamarin,works-with,android
xamarin,works-with,dotnet
xamarin,works-with,ios
xamarin,works-with,windows
xcode,is-a,ide
xcode,is-used-in-field,software-development
xcode,works-with,macos
xmake,is-a,tool
xmake,is-based-on,lua
xmake,is-used-in-field,software-development-process
xmake,provides-functionality,automation
xmake,works-with,lua
xml,is-a,file-format
xml,is-a,markup-language
xml,is-subset-of,standard-generalized-markup-language(sgml)
xml,is-used-in-field,semantic-web
xml,maintained-by,w3c
yaml,is-a,file-format
yaml,provides-functionality,configuration
yaml,provides-functionality,serialization
yii,is-a,framework
yii,is-used-in-field,web-development
yii,provides-functionality,backend
yii,works-with,php
zeit,is-a,organization
zeit,is-a,service-provider
zeit,is-used-in-field,cloud-computing
zeit,provides-functionality,cloud-computing
zeplin,is-a,tool
zeplin,is-used-in-field,software-development-process
zeplin,provides-functionality,collaboration
zeplin,provides-functionality,user-experience
zeplin,provides-functionality,user-interface
zeronet,is-a,network
zeronet,is-a,protocol
zeronet,provides-functionality,file-sharing
zeronet,works-with,blockchain
zig,is-a,programming-language
zsh,is-a,cli
