Number of clusters at this level 525
SIZE = 1  [gin, ] 
SIZE = 1  [git, ] 
SIZE = 1  [github, ] 
SIZE = 1  [github-api, ] 
SIZE = 1  [gitpod, ] 
SIZE = 1  [global-game-jam, ] 
SIZE = 1  [gnu-agpl-license, ] 
SIZE = 1  [gnu-gpl-license, ] 
SIZE = 1  [gnu-lgpl-license, ] 
SIZE = 1  [go, ] 
SIZE = 1  [godot, ] 
SIZE = 1  [golem, ] 
SIZE = 1  [google, ] 
SIZE = 1  [google-cloud, ] 
SIZE = 1  [gpl, ] 
SIZE = 1  [gradescope, ] 
SIZE = 1  [gradle, ] 
SIZE = 1  [grafana, ] 
SIZE = 1  [graphql, ] 
SIZE = 1  [groovy, ] 
SIZE = 1  [grpc, ] 
SIZE = 1  [gui, ] 
SIZE = 1  [guildwars2, ] 
SIZE = 1  [gulp, ] 
SIZE = 1  [hackathon, ] 
SIZE = 1  [hacktoberfest, ] 
SIZE = 1  [haskell, ] 
SIZE = 1  [haxe, ] 
SIZE = 1  [help-desk, ] 
SIZE = 1  [heroku, ] 
SIZE = 1  [hms, ] 
SIZE = 1  [home-assistant, ] 
SIZE = 1  [homebrew, ] 
SIZE = 1  [homebridge, ] 
SIZE = 1  [html, ] 
SIZE = 1  [http, ] 
SIZE = 1  [icon-font, ] 
SIZE = 1  [image-processing, ] 
SIZE = 1  [imagej, ] 
SIZE = 1  [indieweb, ] 
SIZE = 1  [ios, ] 
SIZE = 1  [ipfs, ] 
SIZE = 1  [iris, ] 
SIZE = 1  [irobot, ] 
SIZE = 1  [jamstack, ] 
SIZE = 1  [java, ] 
SIZE = 1  [javafx, ] 
SIZE = 1  [javascript, ] 
SIZE = 1  [jekyll, ] 
SIZE = 1  [jenkins, ] 
SIZE = 1  [jquery, ] 
SIZE = 1  [js13kgames, ] 
SIZE = 1  [json, ] 
SIZE = 1  [julia, ] 
SIZE = 1  [jupyter-notebook, ] 
SIZE = 1  [jwt, ] 
SIZE = 1  [kakoune, ] 
SIZE = 1  [kentico-kontent, ] 
SIZE = 1  [keras, ] 
SIZE = 1  [kerbal-space-program, ] 
SIZE = 1  [kivy, ] 
SIZE = 1  [koa, ] 
SIZE = 1  [kotlin, ] 
SIZE = 1  [kubernetes, ] 
SIZE = 1  [laravel, ] 
SIZE = 1  [latex, ] 
SIZE = 1  [latex-project-public-license(lppl), ] 
SIZE = 1  [less, ] 
SIZE = 1  [libcloud, ] 
SIZE = 1  [library, ] 
SIZE = 1  [liko-12, ] 
SIZE = 1  [lineageos, ] 
SIZE = 1  [linux, ] 
SIZE = 1  [lisp, ] 
SIZE = 1  [llvm, ] 
SIZE = 1  [localization, ] 
SIZE = 1  [lua, ] 
SIZE = 1  [ludum-dare, ] 
SIZE = 1  [luvit, ] 
SIZE = 1  [m2m-app, ] 
SIZE = 1  [m3o, ] 
SIZE = 1  [machine-learning, ] 
SIZE = 1  [macos, ] 
SIZE = 1  [mahapps, ] 
SIZE = 1  [markdown, ] 
SIZE = 1  [mastodon, ] 
SIZE = 1  [material-design, ] 
SIZE = 1  [material-design-for-bootstrap, ] 
SIZE = 1  [matlab, ] 
SIZE = 1  [maven, ] 
SIZE = 1  [maze, ] 
SIZE = 1  [mediawiki, ] 
SIZE = 1  [mercury-lang, ] 
SIZE = 1  [microformats, ] 
SIZE = 1  [microsoft, ] 
SIZE = 1  [mikrotik, ] 
SIZE = 1  [minecraft, ] 
SIZE = 1  [minetest, ] 
SIZE = 1  [mit-license, ] 
SIZE = 1  [mixed-license, ] 
SIZE = 1  [mkdocs, ] 
SIZE = 1  [mobile, ] 
SIZE = 1  [molecular-dynamics, ] 
SIZE = 1  [molecule, ] 
SIZE = 1  [moleculer, ] 
SIZE = 1  [monero, ] 
SIZE = 1  [mongodb, ] 
SIZE = 1  [mongoose, ] 
SIZE = 1  [monitoring, ] 
SIZE = 1  [mount-and-blade-bannerlord, ] 
SIZE = 1  [mozilla-public-license, ] 
SIZE = 1  [mvc, ] 
SIZE = 1  [mvvmcross, ] 
SIZE = 1  [myanimelist, ] 
SIZE = 1  [mysql, ] 
SIZE = 1  [nanocurrency, ] 
SIZE = 1  [nasa, ] 
SIZE = 1  [nativescript, ] 
SIZE = 1  [neo, ] 
SIZE = 1  [neo4j, ] 
SIZE = 1  [neovim, ] 
SIZE = 1  [nestjs, ] 
SIZE = 1  [netbox, ] 
SIZE = 1  [netbox-plugin, ] 
SIZE = 1  [netfree, ] 
SIZE = 1  [netlify, ] 
SIZE = 1  [nette, ] 
SIZE = 1  [neural-network, ] 
SIZE = 1  [nextcloud, ] 
SIZE = 1  [nextjs, ] 
SIZE = 1  [nginx, ] 
SIZE = 1  [nim, ] 
SIZE = 1  [nlp, ] 
SIZE = 1  [nodejs, ] 
SIZE = 1  [nosql, ] 
SIZE = 1  [npm, ] 
SIZE = 1  [nuget, ] 
SIZE = 1  [numpy, ] 
SIZE = 1  [nunjucks, ] 
SIZE = 1  [nuxt, ] 
SIZE = 1  [objective-c, ] 
SIZE = 1  [ocaml, ] 
SIZE = 1  [online-judge, ] 
SIZE = 1  [open-access, ] 
SIZE = 1  [open-data, ] 
SIZE = 1  [open-source, ] 
